Dado Numérico,Status de Verificação,Fonte,Confiabilidade
28 milhões de doses perdidas,CONFIRMADO,TCU - Acórdão oficial 2023,ALTA
"R$ 1,2 bilhão de prejuízo",CONFIRMADO,TCU - Acórdão oficial 2023,ALTA
11 UBS em São Carlos,CONFIRMADO,Prefeitura São Carlos - site oficial,ALTA
"1.478,28 MWh/ano economia ANEEL",CONFIRMADO,ANEEL - Projeto Eficiência Energética 2022,ALTA
30% economia energia hospitais,CONFIRMADO,ANEEL - Projeto Eficiência Energética 2022,ALTA
"41,4% perdas por alteração temperatura",CONFIRMADO,Estudo São José do Rio Preto - SciELO,MÉDIA
45% perdas por temperatura inadequada,SEM FONTE ESPECÍFICA,Não identificada,BAIXA
25% perdas por falta de monitoramento,SEM FONTE ESPECÍFICA,Não identificada,BAIXA
15% perdas por controle manual falho,SEM FONTE ESPECÍFICA,Não identificada,BAIXA
R$ 471.000 investimento inicial,SEM FONTE ESPECÍFICA,Não identificada - estimativa sem base,BAIXA
45.000 doses mensais São Carlos,SEM FONTE ESPECÍFICA,Não identificada - dado local não verificado,BAIXA
R$ 312.000 gasto energético mensal,SEM FONTE ESPECÍFICA,Não identificada - estimativa sem base,BAIXA
ROI 157% em cinco anos,SEM FONTE ESPECÍFICA,Não identificada - projeção sem base,BAIXA
R$ 540.000 economia anual estimada,SEM FONTE ESPECÍFICA,Não identificada - cálculo sem dados primários,BAIXA
